63,1,63,String Pole OT Protection,,"Max Pole Temperature,U16,1,0,℃",,
64,1,64,String Pole OT Alarm,,"Max Pole Temperature,U16,1,0,℃",,
65,1,65,String Pole Wire-Open Alarm,,"Temperature Wire-Open status,U16,1,0,",,
66,1,66,String Pole Reversion,,"Module Min /Max Temperature,U16,1,0,℃",,
67,1,67,QF Fault (Non-Act),,"Breaker Status Check,U16,1,0,",,
68,1,68,KM Fault (Non-Act),,"Conductor Status Check,U16,1,0,",,
69,1,69,KMR Action ,"coil ID,U16,1,0,","KMR Status Check status,U16,1,0,",,
70,1,128,Smoke Sensor Action,,"DI status Check,U16,1,0,",,
71,1,129,Water Immersion Action,,"DI status Check,U16,1,0,",,
72,1,130,Fire Action,,"DI status Check,U16,1,0,",,
73,1,131,Emergency Stop Action,,"DI status CheckU16,1,0,",,
74,2,1,Cell UV Alarm,"Min Voltage ID,U16,1,0,","Min Voltage,U16,0.0001,0,V","Voltage Threshold,U16,0.0001,0,V",
75,2,2,Cell UV Fault,"Min Voltage ID,U16,1,0,","Min Voltage,U16,0.0001,0,V","Voltage Threshold,U16,0.0001,0,V",
76,2,3,Cell OV Alarm,"Max Voltage ID,U16,1,0,","Max Voltage,U16,0.0001,0,V","Voltage Threshold,U16,0.0001,0,V",
77,2,4,Cell OV Fault,"Max Voltage ID,U16,1,0,","Max Voltage,U16,0.0001,0,V","Voltage Threshold,U16,0.0001,0,V",
78,2,5,Cell DIff Alarm (Reserved),,,,
79,2,6,Cell DIff Fault (Reserved),,,,
80,2,7,Cell Voltage Wire-Open Alarm,"Wire-Open BMU ID,U16,1,0,",,"Voltage Wire-Open status,BIN,1,0,",
81,2,8,Cell Fault Reversion ,,"Cell Max Voltage,U16,0.0001,0,V","Min Voltage,U16,0.0001,0,V",
82,2,9,Module OT Alarm ,"Max Temperature ID,U16,1,0,","Max Temperature,I16,0.1,0,℃","Temperature Threshold,I16,0.1,0,℃",
83,2,10,Module OT Fault ,"Max Temperature ID,U16,1,0,","Max Temperature,I16,0.1,0,℃","Temperature Threshold,I16,0.1,0,℃",
84,2,11,Module UT Alarm ,"Min Temperature ID,U16,1,0,","Min Temperature,I16,0.1,0,℃","Temperature Threshold,I16,0.1,0,℃",
85,2,12,Module UT Fault ,"Min Temperature ID,U16,1,0,","Min Temperature,I16,0.1,0,℃","Temperature Threshold,I16,0.1,0,℃",
86,2,13,Module Temperature Diff Alarm (Reserved),,,,
87,2,14,Module Temperature Diff Fault (Reserved),,,,
88,2,15,Module Temperature Rise Alarm (Reserved),,,,
89,2,16,Module Temperature Rise Fault (Reserved),,,,
90,2,17,Module Temperature Wire-Open Alarm,"Wire-Open BMU,U16,1,0,",,"Temperature Wire-Open status,BIN,1,0,",
91,2,18,Module Temperature Reversion,,"Module Max,I16,0.1,0,℃","Min Temperature,I16,0.1,0,℃",
92,2,19,Pole OT Alarm,"Max Pole Temperature ID,U16,1,0,","Max Pole Temperature,I16,0.1,0,℃","Temperature Threshold,I16,0.1,0,℃",
93,2,20,Pole OT Fault,"Max Pole Temperature ID,U16,1,0,","Max Pole Temperature,I16,0.1,0,℃","Temperature Threshold,I16,0.1,0,℃",
94,2,21,Pole Fault Reversion,,"Pole Max Temperature,I16,0.1,0,℃","Temperature Threshold,I16,0.1,0,℃",
95,2,22,OC Alarm,,"Current,I16,0.1,0,A","Current Threshold,I16,0.1,0,A",
96,2,23,OC Fault,,"Current,I16,0.1,0,A","Current Threshold,I16,0.1,0,A",
97,2,24,OC Reversion,,"Current,I16,0.1,0,A","Current Threshold,I16,0.1,0,A",
98,2,25,Short-Circuit Fault,,"Current,I16,0.1,0,A","Current Threshold,I16,0.1,0,A",
99,2,26,String OV Alarm,,"String Voltage,U16,0.1,0,V","String Voltage Threshold,U16,0.1,0,V",
100,2,27,String OV Fault,,"String Voltage,U16,0.1,0,V","String Voltage Threshold,U16,0.1,0,V",
101,2,28,String UV Alarm,,"String Voltage,U16,0.1,0,V","String Voltage Threshold,U16,0.1,0,V",
102,2,29,String UV Fault,,"String Voltage,U16,0.1,0,V","String Voltage Threshold,U16,0.1,0,V",
103,2,30,String Fault Reversion,,"String Voltage,U16,0.1,0,V","String Voltage Threshold,U16,0.1,0,V",
104,2,31,String INS Fault,,"INS RES,U16,0.1,0,kΩ","INS RES Threshold,U16,0.1,0,kΩ",
105,2,32,String INS Fault Reversion,,"INS RES,U16,0.1,0,kΩ","INS RES Threshold,U16,0.1,0,kΩ",
106,2,33,String leakage Current Fault,,"leakage Current,I16,0.1,0,mA","leakage Current Threshold,I16,0.1,0,mA",
107,2,34,String leakage Current Fault Reversion,,"leakage Current,I16,0.1,0,mA","leakage Current Threshold,I16,0.1,0,mA",
108,2,35,Begin CHG,"Last-Time System status,MAP","String Current,I16,0.1,0,A","CHG/DSG Current Detect Threshold,I16,0.1,0,A","{""evt_id"":{""2"":"" DSG "",""4"":""Stop""}}"
109,2,36,Stop CHG,"Last-Time System status,MAP","String Current,I16,0.1,0,A",,{evt_id:{1: CHG }}
